Type, Value, Category
duration_unit, duration_second, DURATION
duration_unit, duration_minute, DURATION
duration_unit, duration_hour, DURATION
duration_unit, duration_day, DURATION
duration_unit, duration_week, DURATION
duration_unit, duration_month, DURATION
duration_unit, duration_year, DURATION
role_type, role_type_superadmin, ROLE
role_type, role_type_student, ROLE
role_type, role_type_instructor, ROLE
object_state, object_state_draft, OBJECT_STATE
object_state, object_state_active, OBJECT_STATE
object_state, object_state_inactive, OBJECT_STATE
object_state, objecjt_state_deleted, OBJECT_STATE
object_state, object_state_blocked, OBJECT_STATE
payment_status, payment_status_unpaid, PAYMENT
payment_status, payment_status_paid, PAYMENT
payment_status, payment_status_partially_paid, PAYMENT
payment_status, payment_status_verification_required, PAYMENT
payment_method_type, payment_method_type_cash, PAYMENT
payment_method_type, payment_method_type_manual, PAYMENT
payment_method_type, payment_method_type_hosted, PAYMENT
job_type, job_type_parttime, JOB
job_type, job_type_fulltime, JOB
job_type, job_type_contract, JOB
