Name, Code, Resource
Create, create_blogcategory, Blog Category
Read, read_blogcategory, Blog Category
Update, update_blogcategory, Blog Category
Delete, delete_blogcategory, Blog Category
Create, create_blogpost, Blog Post
Read, read_blogpost, Blog Post
Update, update_blogpost, Blog Post
Delete, delete_blogpost, Blog Post
Create, create_category, Category
Read, read_category, Category
Update, update_category, Category
Delete, delete_category, Category
Create, create_contactus, Contact Us
Read, read_contactus, Contact Us
Update, update_contactus, Contact Us
Delete, delete_contactus, Contact Us
Create, create_coursediscount, Course Discount
Read, read_coursediscount, Course Discount
Update, update_coursediscount, Course Discount
Delete, delete_coursediscount, Course Discount
Create, create_courselanguage, Course Language
Read, read_courselanguage, Course Language
Update, update_courselanguage, Course Language
Delete, delete_courselanguage, Course Language
Create, create_coursereview, Course Review
Read, read_coursereview, Course Review
Update, update_coursereview, Course Review
Delete, delete_coursereview, Course Review
Create, create_coursetag, Course Tag
Read, read_coursetag, Course Tag
Update, update_coursetag, Course Tag
Delete, delete_coursetag, Course Tag
Create, create_course, Course
Read, read_course, Course
Update, update_course, Course
Delete, delete_course, Course
Create, create_datalookup, Data Lookup
Read, read_datalookup, Data Lookup
Update, update_datalookup, Data Lookup
Delete, delete_datalookup, Data Lookup
Create, create_educationplace, Education Place
Read, read_educationplace, Education Place
Update, update_educationplace, Education Place
Delete, delete_educationplace, Education Place
Create, create_educationfield, Education Field
Read, read_educationfield, Education Field
Update, update_educationfield, Education Field
Delete, delete_educationfield, Education Field
Create, create_educationlevel, Education Level
Read, read_educationlevel, Education Level
Update, update_educationlevel, Education Level
Delete, delete_educationlevel, Education Level
Create, create_enrolment, Enrolment
Read, read_enrolment, Enrolment
Update, update_enrolment, Enrolment
Delete, delete_enrolment, Enrolment
Create, create_instructorreview, Instructor Review
Read, read_instructorreview, Instructor Review
Update, update_instructorreview, Instructor Review
Delete, delete_instructorreview, Instructor Review
Create, create_instructor, Instructor
Read, read_instructor, Instructor
Update, update_instructor, Instructor
Delete, delete_instructor, Instructor
Create, create_jobapplication, Job Application
Read, read_jobapplication, Job Application
Update, update_jobapplication, Job Application
Delete, delete_jobapplication, Job Application
Create, create_jobacategory, Job Category
Read, read_jobacategory, Job Category
Update, update_jobacategory, Job Category
Delete, delete_jobacategory, Job Category
Create, create_joblocation, Job Location
Read, read_joblocation, Job Location
Update, update_joblocation, Job Location
Delete, delete_joblocation, Job Location
Create, create_jobpost, Job Post
Read, read_jobpost, Job Post
Update, update_jobpost, Job Post
Delete, delete_jobpost, Job Post
Create, create_language, Language
Read, read_language, Language
Update, update_language, Language
Delete, delete_language, Language
Create, create_lesson, Lesson
Read, read_lesson, Lesson
Update, update_lesson, Lesson
Delete, delete_lesson, Lesson
Create, create_module, Module
Read, read_module, Module
Update, update_module, Module
Delete, delete_module, Module
Create, create_paymentmethod, Payment Method
Read, read_paymentmethod, Payment Method
Update, update_paymentmethod, Payment Method
Delete, delete_paymentmethod, Payment Method
Create, create_payment, Payment
Read, read_payment, Payment
Update, update_payment, Payment
Delete, delete_payment, Payment
Create, create_permission, Permission
Read, read_permission, Permission
Update, update_permission, Permission
Delete, delete_permission, Permission
Create, create_prerequisite, Prerequisite
Read, read_prerequisite, Prerequisite
Update, update_prerequisite, Prerequisite
Delete, delete_prerequisite, Prerequisite
Create, create_resource, Resource
Read, read_resource, Resource
Update, update_resource, Resource
Delete, delete_resource, Resource
Create, create_rolepermission, Role Permission
Read, read_rolepermission, Role Permission
Update, update_rolepermission, Role Permission
Delete, delete_rolepermission, Role Permission
Create, create_role, Role
Read, read_role, Role
Update, update_role, Role
Delete, delete_role, Role
Create, create_section, Section
Read, read_section, Section
Update, update_section, Section
Delete, delete_section, Section
Create, create_service, Service
Read, read_service, Service
Update, update_service, Service
Delete, delete_service, Service
Create, create_session, Session
Read, read_session, Session
Update, update_session, Session
Delete, delete_session, Session
Create, create_student, Student
Read, read_student, Student
Update, update_student, Student
Delete, delete_student, Student
Create, create_tag, Tag
Read, read_tag, Tag
Update, update_tag, Tag
Delete, delete_tag, Tag
Create, create_user, User
Read, read_user, User
Update, update_user, User
Delete, delete_user, User
Create, create_staff, Staff
Read, read_staff, Staff
Update, update_staff, Staff
Delete, delete_staff, Staff
